"A.crassip";"A.lacustr";"A.osteomy";"Ast.lacus";"C.britski";"C.kelberi";"C.modestu";"C.nagelii";"C.piquiti";"E.triline";"G.inaequi";"G.sveni";"H.littora";"H.mbigua";"H.oremacu";"H.orthono";"H.platyrh";"H.unitaen";"Hopli.sp2";"Hopli.sp3";"I.labrosu";"L.frideri";"L.lacustr";"L.platyme";"M.aff.int";"M.lippinc";"M.macroce";"M.piavuss";"P.ambrose";"P.corrusc";"P.galeatu";"P.granulo";"P.lineatu";"P.maculat";"P.mesopot";"P.mysteri";"P.squamos";"R.descalv";"R.hahni";"R.vulpinu";"S.borelli";"S.brasili";"S.brevipi";"S.insculp";"S.lima";"S.maculat";"S.margina";"S.pappate";"T.paragua";"ano.mes";"nv.df0";"nv.df1";"nv.df2";"nv.df3";"nv.df4";"nv.df5"
"21";2.91071980265428;2.08823702559907;2.35851010224382;1.77720713270613;1.52957359003413;2.03943942828192;2.37305699495552;6;2.32352941165859;5.77630367635057;3.23097309747899;NA;2.86481452740738;NA;4.22443181816697;NA;NA;2.84810381948057;NA;NA;6;3.2133809679436;2.203538720014;1.36353537473652;2.37305699495552;1.6907090463884;6;NA;1.45044751980691;3.67881705644546;1.64750704144942;2.32352941165859;2.20003359080786;6;6;NA;4.85875402773244;1.65633028608971;1.60572117876304;3.68447605735806;1.59210336152488;6;5.54984154428482;6;NA;1.60572117876304;1.75357665345378;4.01475234042428;1.87004405300035;"2005/03";303.967741935484;400;427.451612903226;270.870967741935;253.033333333333;258.870967741935
"22";2.63621262491313;1.29460518389442;5.33669933675232;6;6;1.07490252415237;NA;NA;6;NA;4.44907806349463;NA;2.46226415092156;NA;NA;NA;6;6;NA;NA;3.92746114038139;2.32352941165859;1.93088400094878;1.78298152003571;6;6;NA;5.18259557360112;2.54594328986619;3.41513010490339;1.45096573540626;2.32352941165859;1.75026883951187;1.87004405300035;6;6;3.52202643186101;1.60572117876304;2.96048632237261;2.32352941165859;1.61255800026272;6;1.77789150461773;2.37305699495552;NA;2.32352941165859;2.12586184026721;2.61016949140054;2.96274298056598;"2005/06";243.133333333333;249.645161290323;286.233333333333;303.967741935484;400;427.451612903226
"23";3.99001354105016;2.16803698731383;4.49094567391004;4.05576631231014;6;2.42433987829046;6;NA;2.32352941165859;6;2.32352941165859;NA;2.91071980265428;NA;NA;NA;6;2.38118214747771;NA;NA;6;6;2.51213243888808;1.26036073348519;6;3.17052313896347;NA;NA;2.32352941165397;1.34723418930171;2.32919388633995;NA;1.90782871357887;2.5113892880821;NA;NA;NA;1.46200109367734;NA;6;1.62958435208919;6;2.32352941165859;2.25767656098105;NA;6;2.00118483399633;2.98744629434001;NA;"2005/09";213.233333333333;245.677419354839;227.741935483871;243.133333333333;249.645161290323;286.233333333333
"24";6;4.36621041189385;2.09794575720446;2.01873480236634;6;1.53571428561881;6;6;6;1.73863636374848;4.2806052267439;6;2.62895096972499;NA;6;NA;6;6;NA;NA;6;2.53012863909002;1.54095332868537;1.05639375129609;4.46125721071246;1.83060269819493;NA;6;2.01393829102345;3.15664311560965;1.21939444535595;6;3.15909090929832;1.82587001040009;NA;NA;3.02911467611281;4.99396978418712;2.96048632237261;1.44072948320108;1.78833693320263;3.64150943420131;2.21558598513834;3.86028735114969;NA;6;1.94111553065624;2.85593559361191;1.75407170331281;"2005/12";348.161290322581;232.166666666667;238.741935483871;213.233333333333;245.677419354839;227.741935483871
"25";NA;2.54175050304562;6;3.92505030190656;1.44072948320108;6;NA;NA;6;2.96048632237261;2.96048632237261;2.96048632237261;2.81563632364313;NA;6;NA;4.62421383658409;6;NA;NA;2.32352941165859;3.2597192224308;2.26059749694933;1.2979433356458;3.83750386150502;2.32352941165859;2.32352941165859;2.35005517336635;2.72650811620096;2.96048632237261;1.81161274402084;6;2.26572327065752;1.39036544849003;6;NA;4.97393802585222;2.75954135049523;6;2.44732777256526;2.16961437274768;5.18259557360112;4.13258636786221;5.03176725522737;NA;3.15664311560965;1.33751567513495;1.88870431902481;2.24680915588638;"2006/03";390.741935483871;314.178571428571;337.387096774194;348.161290322581;232.166666666667;238.741935483871
"26";6;2.47272699554742;6;4.15060697994616;NA;2.1180973207267;1.33678756486109;NA;NA;1.44072948320108;5.23455440138137;NA;4.44900322592877;NA;6;NA;2.96048632237261;NA;NA;NA;3.38372093021246;6;1.8972547436058;1.58077327855601;6;2.96048632237261;NA;2.40878309048276;2.29024144842481;2.32352941165859;1.41468504808998;NA;3.53745126180218;2.38704318933474;NA;NA;6;2.5113892880821;1.44072948320108;6;1.51642178046287;6;3.27995110037219;6;NA;1.21161569358021;1.88282937356892;2.01669195755014;6;"2006/06";290.9;269.967741935484;354.6;390.741935483871;314.178571428571;337.387096774194
"27";2.96048632237261;1.77226989269209;2.7976734804258;3.3322388669209;2.89119170981117;2.38118214747771;1.44072948320108;NA;NA;NA;1.33678756486109;6;4.91984711689146;NA;3.92746114038139;NA;6;NA;NA;NA;4.87873754167577;6;2.13307610014603;1.45560870078228;3.12702647220021;2.37305699495552;2.32352941165859;1.87264150976165;1.61429561426882;1.44072948320108;1.29091687360584;2.32352941165859;2.32352941165859;1.39036544872305;NA;NA;3.15664311560965;2.87032626156772;NA;2.96048632237261;1.6203452943688;NA;2.339647613434;3.52202643186101;NA;NA;2.10697359530068;1.98143202552736;6;"2006/09";278.133333333333;284.774193548387;278.032258064516;290.9;269.967741935484;354.6
"28";6;2.51730981800842;2.94922148649077;3.29627766587616;NA;2.01778403250282;6;NA;6;1.98393574308671;6;3.60515701523731;4.00664451792978;1.62071508673046;2.2902414486707;NA;6;6;4.01408497732003;2.4752407152149;2.96048632237261;1.58793351130503;1.84080748740985;1.71878170593617;5.59214226467931;2.26572327065752;6;2.37305699495552;3.3322388669209;2.37305699495552;1.39851225548725;6;2.32352941165859;2.39249639253469;2.32352941165859;NA;4.0561555072016;4.70481920601491;2.32352941165859;6;2.26245847232421;3.52202643186101;2.06154667727409;6;NA;1.96808420325289;1.38624496693312;2.01268255187703;3.36061441938514;"2006/12";283.58064516129;275;260.451612903226;278.133333333333;284.774193548387;278.032258064516
"29";1.44072948320108;2.06859054796058;2.96048632237261;1.87832212707443;6;1.78906670246215;NA;NA;1.6750077234116;NA;6;6;4.27540012459036;6;4.86919315418759;NA;NA;6;1.44072948320108;6;6;1.63995503455166;4.14184142977731;3.9407979405887;2.87599080890338;6;6;1.70151306744173;1.79314590592488;NA;2.20083788645837;4.62474610695693;3.24949221400272;2.89119170981117;6;NA;2.37305699495552;1.9594222833015;NA;1.87004405300035;2.63857358570033;NA;NA;NA;NA;6;1.95192485164624;6;4.65660184229475;"2007/03";379.806451612903;590;458.290322580645;283.58064516129;275;260.451612903226
"30";1.97585513081078;1.41871356705165;3.15909090929832;1.46200109346371;2.32352941165859;2.55947905474398;1.44072948320108;NA;1.9594222833015;NA;5.11768942672418;1.73863636365196;3.97083290988758;1.19183094195382;3.92746114038139;NA;3.99909103245498;3.22952929940013;1.47666060089959;3.52202643186101;6;6;1.71965688426353;1.40360459851899;NA;3.6802044109343;2.0937500000422;4.62421383658409;1.67592976354862;1.55125602232822;2.39414494818834;2.92181407768101;2.14151736064347;1.48040910396104;2.2273641851757;6;2.96048632237261;1.44072948320108;2.96048632237261;2.38118214747771;1.1976910713263;3.00996677743605;6;4.43662338921131;2.01778403250282;1.42452566189154;1.98417211304845;1.76851051559343;2.15304968379992;"2007/06";242.633333333333;240.967741935484;286.3;379.806451612903;590;458.290322580645
