"A.crassip";"A.lacustr";"A.osteomy";"Ast.lacus";"C.britski";"C.kelberi";"C.modestu";"C.nagelii";"C.piquiti";"E.triline";"G.inaequi";"G.sveni";"H.littora";"H.mbigua";"H.oremacu";"H.orthono";"H.platyrh";"H.unitaen";"Hopli.sp2";"Hopli.sp3";"Hopli.spp";"I.labrosu";"L.frideri";"L.lacustr";"L.platyme";"M.aff.int";"M.lippinc";"M.macroce";"M.piavuss";"P.ambrose";"P.corrusc";"P.galeatu";"P.granulo";"P.lineatu";"P.maculat";"P.mesopot";"P.mysteri";"P.squamos";"R.descalv";"R.hahni";"R.vulpinu";"S.borelli";"S.brasili";"S.brevipi";"S.insculp";"S.lima";"S.maculat";"S.margina";"S.pappate";"T.paragua";"ano.mes"
NA;0.5;0.148148148148148;0.357142857142857;0.333333333333333;0;NA;NA;0;0.333333333333333;0.333333333333333;0.333333333333333;0.238095238095238;NA;1;NA;0.5;1;NA;NA;0;1;0.2;0.525;0.115384615384615;0.222222222222222;0.5;0;0.647058823529412;0.0512820512820513;1;0.24822695035461;0;0.375;0.4;1;NA;0.181818181818182;0.476190476190476;1;0.333333333333333;0.176470588235294;0.928571428571429;0.117647058823529;0.0434782608695652;NA;0;0.196581196581197;0.5;0.258064516129032;"2006/03"
0;0.217391304347826;0.5;0.125;NA;0.333333333333333;0.4;NA;NA;1;1;NA;0;NA;1;NA;0.666666666666667;NA;NA;NA;0;0.1;0;0.15;0.0375;0.5;1;NA;0.454545454545455;0.0714285714285714;1;0.185567010309278;NA;0.454545454545455;0.5;NA;NA;0;0;1;1;0.153846153846154;0.5;0.3;0;NA;0.333333333333333;0.3;0.0625;0.375;"2006/06"
0.666666666666667;0.36986301369863;0.272727272727273;0.0909090909090909;0.2;0.142857142857143;0.333333333333333;NA;NA;NA;1;0;0.0952380952380952;NA;0.8;NA;1;NA;NA;NA;0;0.7;0;0.193548387096774;0.0229885057471264;0.636363636363636;0.6;0.5;0.25;0.0571428571428571;0.333333333333333;0.181818181818182;0;1;0.6;NA;NA;0.142857142857143;0.19047619047619;NA;0.666666666666667;0.166666666666667;NA;0.642857142857143;0;NA;NA;0.208333333333333;0.354838709677419;0.142857142857143;"2006/09"
0;0.403225806451613;0.526315789473684;0.0714285714285714;NA;0.1875;0;NA;0.333333333333333;1;1;0.461538461538462;0.1;0.116279069767442;0.571428571428571;NA;0.5;0;0.444444444444444;0.416666666666667;NA;0.333333333333333;0.545454545454545;0.529411764705882;0.0950413223140496;0.209039548022599;0.375;1;0.8;0.0909090909090909;0.6;0.359447004608295;0.5;1;0.882352941176471;0.5;NA;0.5;0.188118811881188;1;1;0.2;0.75;0.703703703703704;0;NA;0.0588235294117647;0.230769230769231;0.333333333333333;0.228070175438596;"2006/12"
0;0.688888888888889;0.333333333333333;0.683908045977011;1;0.545454545454545;NA;NA;1;NA;1;0;0.621867881548975;0.333333333333333;0.95;NA;NA;0;0.666666666666667;0;NA;1;0.77;0.866666666666667;0.0285714285714286;0.315555555555556;1;0;0.666666666666667;0.727272727272727;NA;0.461538461538462;1;0.791666666666667;0.4;1;NA;0;0.25;NA;0.25;0.384615384615385;NA;NA;NA;NA;0.75;0.582089552238806;0;0.5;"2007/03"
0.5;0.765625;0.833333333333333;0.266666666666667;0;0.394736842105263;1;NA;0.666666666666667;NA;1;0.833333333333333;0.391752577319588;0.151898734177215;1;NA;0.621621621621622;0.205882352941176;0.304347826086957;0.25;NA;0.3;1;0.403846153846154;0.393081761006289;NA;0.954545454545455;0.5;0.625;0.797101449275362;0.985915492957746;0.7;1;0.992217898832685;0.846153846153846;1;0;0;0.333333333333333;1;1;0.68503937007874;1;0.947368421052632;0.171779141104294;1;0.0882352941176471;0.888111888111888;0.384615384615385;0.794871794871795;"2007/06"
0;0.637362637362637;1;0.238095238095238;0.2;0.157894736842105;0.5;NA;1;1;1;0.625;0.0625;0.25;1;NA;0.866666666666667;NA;0.369747899159664;0.6;0;0.4;0.666666666666667;0.28125;0.15527950310559;0.34375;0.8;0.571428571428571;0.857142857142857;0.5;1;0.508474576271186;NA;1;1;1;NA;0.666666666666667;0.3;1;0.5;0.802469135802469;1;0.5625;0.361111111111111;1;0.3;0.86682808716707;0.476190476190476;1;"2007/09"
0.6;0.551020408163265;0.696078431372549;0.6;NA;0.16;0;1;0.5;1;1;0.85;0.695652173913043;0.319444444444444;1;NA;1;0.625;0.325842696629214;0.333333333333333;0;1;1;0.583333333333333;0.786764705882353;0.363636363636364;0.958333333333333;0;0.8;0.72;0.9375;0.24;1;1;1;1;1;0.466666666666667;0.131578947368421;1;1;0.666666666666667;1;0.771428571428571;0.304878048780488;0.444444444444444;0.2;0.792710706150342;0.684210526315789;0.666666666666667;"2007/11"
NA;0.625;0.775510204081633;0.166666666666667;NA;0.6;0.75;NA;0;1;1;0.608695652173913;0.590909090909091;0.486486486486487;1;NA;0.9375;NA;0.285714285714286;0.5;NA;0;0.142857142857143;0.444444444444444;0.4625;0.389473684210526;0.75;1;0;0.208333333333333;0.875;0.30379746835443;0.888888888888889;0.970588235294118;1;1;1;0.428571428571429;0.193548387096774;1;0.8;0.727272727272727;0.866666666666667;0.5;0.428571428571429;1;0.225806451612903;0.630188679245283;0.444444444444444;0.5;"2008/02"
NA;0.285714285714286;0.333333333333333;0;0.5;0.2;0;NA;0;1;1;0.333333333333333;0.375;0.2;NA;NA;1;0;0.133333333333333;1;NA;NA;NA;0.222222222222222;0.223744292237443;0;1;NA;0.5;0.25;1;0.128205128205128;1;0.91358024691358;0.6;1;NA;1;0.142857142857143;NA;1;0.31404958677686;0.2;0.5;0;1;0;0.379310344827586;0;NA;"2008/06"
