"specie";"scientific_name";"short_name";"spawning_type";"migration";"diet";"parental_care";"slope.level";"ci.lower.level";"ci.upper.level";"p.level";"slope.prop";"ci.lower.prop";"ci.upper.prop";"p.prop";"p.shapiro";"aic";"n"
"11";"S.margina";"Serrasalmus marginatus";"S.mar";"Partial";"No";"Pisc";"Yes";"-0.518054304725363";"-0.823783836033564";"-0.212324773417162";"0.00121963197597666";"0.112625514549691";"-0.190696197790472";"0.415947226889855";"0.460939428220848";"0.176546527924282";"39.8819770683987";"67"
"12";"S.maculat";"Serrasalmus maculatus";"S.mac";"Partial";"No";"Pisc";"Yes";"0.0726275746500706";"-0.438715055226055";"0.583970204526197";"0.77730542108203";"0.237235978452724";"-0.265258274519649";"0.739730231425097";"0.348765931511887";"0.0220602307271276";"96.2282620259783";"63"
"13";"M.lippinc";"Metynnis lippincottianus ";"M.lip";"Total";"No";"Omn";"No";"-0.108085680068751";"-0.521433083190902";"0.305261723053399";"0.602671695079234";"0.101771355451086";"-0.280145386439501";"0.483688097341673";"0.595789331252214";"0.000272998353758219";"72.6340913607414";"61"
"14";"P.mesopot";"Piaractus mesopotamicus";"P.mes";"Total";"Yes";"Herb";"No";"0.402824969627498";"-0.246239510123143";"1.05188944937814";"0.214732940286009";"-0.163504955687271";"-0.62812917994858";"0.301119268574038";"0.477891551156973";"0.0117883587310628";"51.9032011128675";"33"
"15";"H.orthono";"Hemiodus orthonops";"H.ort";"Total";"No";"Det";"No";"0.0109943678777752";"-0.567014096007314";"0.589002831762865";"0.969270287166522";"0.00806486514387357";"-0.572433123955713";"0.58856285424346";"0.977552319584306";"0.0680285752183582";"44.2980579676936";"33"
"16";"R.vulpinu";"Rhaphiodon vulpinus";"R.vul";"Total";"Yes";"Pisc";"No";"-0.247256743004692";"-0.777923869346733";"0.283410383337348";"0.35384388234873";"0.134747288909264";"-0.259423322093889";"0.528917899912417";"0.495490460509503";"0.035326550170119";"83.4868676473728";"53"
"17";"Ast.lacus";"Astyanax lacustris";"Ast.l";"Partial";"No";"Ins";"No";"-0.32129451924199";"-0.739453168620287";"0.0968641301363075";"0.12972117880711";"-0.248349202021433";"-0.739457677732743";"0.242759273689876";"0.316187338596189";"0.00434926485722759";"94.6814971822797";"67"
"18";"M.aff.int";"Moenkhausia intermedia";"M.int";"Partial";"No";"Omn";"No";"-0.105668542468776";"-0.486580766431269";"0.275243681493717";"0.580928604805028";"0.227968282621114";"-0.163617105031108";"0.619553670273337";"0.248742069659003";"0.0566496980910794";"70.1189276201624";"62"
"19";"R.descalv";"Roeboides descalvadensis";"R.des";"Partial";"No";"Ins";"No";"-0.0016047915617355";"-0.404772815176916";"0.401563232053445";"0.993678587330468";"-0.146760519848912";"-0.76380927897053";"0.470288239272706";"0.636223606037456";"0.254080681224492";"74.413031975283";"66"
"20";"A.lacustr";"Acestrorhynchus lacustris";"A.lac";"Partial";"No";"Pisc";"No";"-0.227124320964046";"-0.65072477549154";"0.196476133563448";"0.288131839611051";"-0.116348259453793";"-0.573523078553929";"0.340826559646344";"0.612913735448917";"0.724396872277928";"74.6791302074575";"67"
"21";"S.brasili";"Salminus brasiliensis";"S.bra";"Total";"Yes";"Pisc";"No";"-0.197338812985035";"-0.784269312479836";"0.389591686509765";"0.497136236390688";"-0.028563575712467";"-0.382845829199811";"0.325718677774877";"0.870171340527045";"0.000312904719498578";"37.4530744517177";"32"
"22";"Hopli.sp3";"Hoplias argentinensis";"H.arg";"Partial";"No";"Pisc";"Yes";"0.129681283339608";"-0.377005449402698";"0.636368016081913";"0.607139192309078";"0.379319001280855";"-0.158706243898348";"0.917344246460058";"0.161533613299811";"0.323111593494076";"60.2070468066432";"40"
"23";"H.mbigua";"Hoplias mbigua";"H.mbi";"Partial";"No";"Pisc";"Yes";"0.508181005498721";"0.14247333071874";"0.873888680278702";"0.00766188526319466";"-0.610232981236967";"-1.28861250866598";"0.0681465461920442";"0.0765514003895947";"0.00479509487334851";"36.4359136419744";"43"
"24";"Hopli.sp2";"Hoplias sp2";"H.sp2";"Partial";"No";"Pisc";"Yes";"-0.511757484915191";"-1.03758106736651";"0.0140660975361261";"0.0561296551645451";"-0.209195032439254";"-0.721948539342976";"0.303558474464467";"0.414005216904371";"0.271550163449022";"46.6718879076162";"41"
"25";"H.unitaen";"Hoplerythrinus unitaeniatus";"H.uni";"Partial";"No";"Pisc";"Yes";"-0.015083236913092";"-0.45805966770095";"0.427893193874766";"0.945406698014294";"-0.144971654012699";"-0.499010718177802";"0.209067410152404";"0.412310949912129";"0.000262609884368917";"54.6865495176335";"41"
"26";"P.maculat";"Pimelodus maculatus";"P.mac";"Partial";"No";"Omn";"No";"-0.356449245301339";"-0.789162655833708";"0.0762641652310311";"0.104688000120285";"0.100710084366144";"-0.260845782353991";"0.462265951086278";"0.579664209235937";"0.00453122064985575";"90.3365133389494";"65"
"27";"I.labrosu";"Iheringichthys labrosus";"I.lab";"Partial";"No";"Inv";"No";"-0.316299209498658";"-0.741461107197716";"0.1088626882004";"0.141321178545939";"0.0164456052565344";"-0.280194819888811";"0.313086030401879";"0.911746424399986";"3.35041946888302e-05";"48.582178026064";"52"
"28";"H.oremacu";"Hypophthalmus oremaculatus";"H.ore";"Partial";"No";"Plan";"No";"0.131395876041936";"-0.324027619573703";"0.586819371657575";"0.564245020559123";"-0.133510889779065";"-0.440647674405497";"0.173625894847368";"0.3861219313472";"4.90247195653478e-07";"58.667791043631";"49"
"29";"S.lima";"Sorubim lima";"S.lim";"Total";"Yes";"Pisc";"No";"-0.154368465674791";"-0.775036599656322";"0.466299668306739";"0.617523457179262";"-0.32229479102575";"-0.755602435225358";"0.111012853173858";"0.140400190591704";"0.00182923132850231";"56.7276973688499";"41"
"30";"P.corrusc";"Pseudoplatystoma corruscans ";"P.cor";"Total";"Yes";"Pisc";"No";"-0.42929163957937";"-0.947457563840421";"0.0888742846816802";"0.102696916715475";"0.364891759685044";"-0.180114136611315";"0.909897655981403";"0.185544863161449";"0.0515914653574748";"89.432618405269";"63"
"31";"H.platyrh";"Hemisorubim platyrhynchos";"H.pla";"Total";"Yes";"Pisc";"No";"-0.369217482394839";"-0.917548299315545";"0.179113334525867";"0.182573449430451";"-0.089984106653951";"-0.419971696011919";"0.240003482704017";"0.586711735397195";"0.00321952843530155";"65.1457050911922";"56"
"32";"A.osteomy";"Auchenipterus osteomystax";"A.ost";"Partial";"No";"Ins";"Yes";"0.29378143182837";"-0.0347025437983199";"0.62226540745506";"0.0786967790005572";"-0.264322631594101";"-0.586227484166269";"0.0575822209780675";"0.105778803525323";"0.354723184610868";"48.8579105089527";"65"
"33";"P.galeatu";"Trachelyopterus galeatus";"T.gal";"Partial";"No";"Omn";"Yes";"-0.194064831158623";"-0.556632151651878";"0.168502489334632";"0.288956115941787";"0.17199825973961";"-0.404084376666837";"0.748080896146056";"0.552976835626416";"0.0574659927828731";"56.3600472538488";"67"
"34";"P.mysteri";"Pimelodus mysteriosus";"P.mys";"Total";"No";"Omn";"No";"-0.558006474181708";"-1.34948061248307";"0.233467664119654";"0.159523572626477";"0.389720043186214";"-0.0762988235429768";"0.855738909915404";"0.097636232033326";"0.0555094850732229";"42.8524447992296";"30"
"35";"T.paragua";"Trachydoras paraguayensis";"T.par";"Partial";"No";"Inv";"No";"-0.432272247601992";"-0.837129571365073";"-0.027414923838912";"0.0368355370988997";"0.0037025028026766";"-0.340403892421523";"0.347808898026876";"0.982868865334788";"9.9386495307287e-05";"60.3757947755541";"57"
"36";"P.granulo";"Pterodoras granulosus";"P.gra";"Partial";"Yes";"Omn";"No";"-0.217424938676181";"-0.678016622353811";"0.24316674500145";"0.348025585968956";"0.0369359460196995";"-0.262637784966357";"0.336509677005756";"0.805632737848582";"3.05091225709044e-06";"70.0135455439749";"56"
"37";"P.ambrose";"Pterygoplichthys ambrosettii ";"P.amb";"Partial";"No";"Det";"Yes";"-0.111268501840001";"-0.38752979056247";"0.164992786882468";"0.424019972964181";"-0.107074364173829";"-0.427047730585069";"0.212899002237412";"0.506211702386156";"0.00186705078952015";"34.7408683562576";"67"
"38";"L.platyme";"Loricariichthys platymetopon";"L.pla";"Partial";"No";"Det";"Yes";"0.316925445546383";"0.0267275733941296";"0.607123317698636";"0.0328091614096695";"-0.298607565418394";"-0.843101797092749";"0.245886666255961";"0.277368201438784";"0.00247611766381454";"37.7332198752135";"67"
"39";"H.littora";"Hoplosternum littorale";"H.lit";"Partial";"No";"Inv";"Yes";"0.109569667115703";"-0.260326644447933";"0.479465978679339";"0.555727196189429";"-0.327597495357034";"-0.804913680452162";"0.149718689738093";"0.174902680958535";"0.0409688786330179";"56.621405041733";"63"
"40";"R.hahni";"Rhamphichthys hahni";"R.hah";"Partial";"No";"Ins";"No";"-0.278265853718341";"-0.862767220710099";"0.306235513273418";"0.342751937853127";"-0.155985567822138";"-0.585054292190323";"0.273083156546046";"0.467833275722805";"0.00361260981203644";"71.7005924544386";"48"
"41";"G.inaequi";"Gymnotus inaequilabiatus";"G.ina";"Partial";"No";"Ins";"Yes";"0.288454345221815";"-0.184622186234513";"0.761530876678143";"0.226067087429989";"0.166880490772224";"-0.293684224405817";"0.627445205950264";"0.469660290021841";"0.0213252899794683";"69.819663307536";"50"
