"ano.mes"	"manha"	"tarde"	"media"
"76"	"2006/12"	283.612903225806	283.225806451613	283.58064516129
"85"	"2007/1"	454.387096774194	461.870967741935	458.290322580645
"89"	"2007/2"	589.321428571429	590.321428571429	590
"90"	"2007/3"	382.258064516129	376.903225806452	379.806451612903
"91"	"2007/4"	287.966666666667	284.233333333333	286.3
"92"	"2007/5"	243.709677419355	237.870967741935	240.967741935484
"93"	"2007/6"	243.566666666667	241.166666666667	242.633333333333
"94"	"2007/7"	258.741935483871	258.032258064516	258.612903225806
"95"	"2007/8"	257.387096774194	259.967741935484	258.935483870968
"96"	"2007/9"	273.1	274.933333333333	274.266666666667
"86"	"2007/10"	275.322580645161	276.225806451613	275.935483870968
"87"	"2007/11"	245.566666666667	242.166666666667	244.133333333333
"88"	"2007/12"	281.709677419355	283.806451612903	283.032258064516
"97"	"2008/1"	272.806451612903	278.387096774194	275.870967741935
"101"	"2008/2"	280.310344827586	281.724137931034	281.172413793103
"102"	"2008/3"	346.516129032258	346.774193548387	346.838709677419
"103"	"2008/4"	385.2	388.733333333333	387.3
"104"	"2008/5"	301.032258064516	302.41935483871	301.935483870968
"105"	"2008/6"	292.666666666667	297.233333333333	295.233333333333
"106"	"2008/7"	272.612903225806	272.774193548387	272.967741935484
"107"	"2008/8"	282.935483870968	285.516129032258	284.451612903226
"108"	"2008/9"	252.533333333333	257.1	255.066666666667
"98"	"2008/10"	250.225806451613	251.354838709677	251
"99"	"2008/11"	237.166666666667	241.633333333333	239.666666666667
"100"	"2008/12"	207.483870967742	205.161290322581	206.58064516129
"109"	"2009/1"	258.548387096774	264.903225806452	261.967741935484
"113"	"2009/2"	322.678571428571	327.321428571429	325.178571428571
"114"	"2009/3"	318.870967741935	318.548387096774	318.903225806452
"115"	"2009/4"	321.733333333333	321.766666666667	322.1
"116"	"2009/5"	261.129032258065	262.516129032258	262.064516129032
"117"	"2009/6"	257.666666666667	262.666666666667	260.3
"118"	"2009/7"	249.322580645161	247.258064516129	248.548387096774
"119"	"2009/8"	234.612903225806	233.161290322581	234.161290322581
"120"	"2009/9"	307.133333333333	313.9	310.733333333333
"110"	"2009/10"	349.064516129032	355.387096774194	352.387096774194
"111"	"2009/11"	349.566666666667	355.4	352.7
"112"	"2009/12"	505.645161290323	NA	507.451612903226
"121"	"2010/1"	572.161290322581	575.258064516129	573.903225806452
"125"	"2010/2"	501.642857142857	497.821428571429	500
