"specie","ancient_scientific_name","scientific_name","short_name","mean_regional_size","spawning_type","L50_mean","migration","parental_care","reproductive_guild","diet","origin","order","family"
"Hopli.sp3","Hoplias argentinensis","Hoplias argentinensis","H.arg",23.26,"Partial",15.8,"No","Yes","NEFP","Pisc","Native","Characiformes","Erythrinidae"
"H.mbigua","Hoplias mbigua","Hoplias mbigua","H.mbi",24.79,"Partial",15.8,"No","Yes","NEFP","Pisc","Invasive","Characiformes","Erythrinidae"
"Hopli.sp2","Hoplias sp2","Hoplias sp2","H.sp2",24.52,"Partial",15.8,"No","Yes","NEFP","Pisc","Native","Characiformes","Erythrinidae"
"H.unitaen","Hoplerythrinus unitaeniatus","Hoplerythrinus unitaeniatus","H.uni",17.54,"Partial",15.25,"No","Yes","NEFP","Pisc","Invasive","Characiformes","Erythrinidae"
"P.maculat","Pimelodus maculatus","Pimelodus maculatus","P.mac",17.83,"Partial",15.25,"No","No","NEFW","Omn","Native","Siluriformes","Pimelodidae"
"I.labrosu","Iheringichthys labrosus","Iheringichthys labrosus","I.lab",17.02,"Partial",12.55,"No","No","NEFW","Inv","Invasive","Siluriformes","Pimelodidae"
"H.oremacu","Hypophthalmus oremaculatus","Hypophthalmus oremaculatus","H.ore",26.55,"Partial",24.55,"No","No","NEFW","Plan","Invasive","Siluriformes","Pimelodidae"
"S.lima","Sorubim lima","Sorubim lima","S.lim",30.04,"Total",22.7,"Yes","No","LMEF","Pisc","Invasive","Siluriformes","Pimelodidae"
"P.corrusc","Pseudoplatystoma corruscans ","Pseudoplatystoma corruscans ","P.cor",41.04,"Total",58.1,"Yes","No","LMEF","Pisc","Native","Siluriformes","Pimelodidae"
"H.platyrh","Hemisorubim platyrhynchos","Hemisorubim platyrhynchos","H.pla",27.1,"Total",27.8,"Yes","No","LMEF","Pisc","Native","Siluriformes","Pimelodidae"
"A.osteomy","Auchenipterus osteomystax","Auchenipterus osteomystax","A.ost",18.08,"Partial",15,"No","Yes","NIF","Ins","Invasive","Siluriformes","Auchenipteridae"
"P.galeatu","Parauchenipterus galeatus","Trachelyopterus galeatus","T.gal",13.57,"Partial",11.05,"No","Yes","NIF","Omn","Invasive","Siluriformes","Auchenipteridae"
"P.mysteri","Pimelodus mysteriosus","Pimelodus mysteriosus","P.mys",14.84,"Total",15.25,"No","No","NEFW","Omn","Native","Siluriformes","Pimelodidae"
"T.paragua","Trachydoras paraguayensis","Trachydoras paraguayensis","T.par",8.2,"Partial",6.35,"No","No","NEFW","Inv","Invasive","Siluriformes","Doradidae"
"P.granulo","Pterodoras granulosus","Pterodoras granulosus","P.gra",23.42,"Partial",24.8,"Yes","No","LMEF","Omn","Invasive","Siluriformes","Doradidae"
"P.ambrose","Pterygoplichthys ambrosettii ","Pterygoplichthys ambrosettii ","P.amb",28.06,"Partial",24.2,"No","Yes","NEFP","Det","Invasive","Siluriformes","Loricariidae"
"L.platyme","Loricariichthys platymetopon","Loricariichthys platymetopon","L.pla",20.94,"Partial",15.1,"No","Yes","NEFP","Det","Invasive","Siluriformes","Loricariidae"
"H.littora","Hoplosternum littorale","Hoplosternum littorale","H.lit",12.41,"Partial",8.3,"No","Yes","NEFP","Inv","Native","Siluriformes","Callichthyidae"
"R.hahni","Rhamphichthys hahni","Rhamphichthys hahni","R.hah",52.34,"Partial",40.6,"No","No","NEFP","Ins","Invasive","Gymnotiformes","Rhamphichthyidae"
