"species";"ar0";"ar1";"ar2";"ar0.df1";"ar1.df1";"ar2.df1";"ar0.df2";"ar1.df2";"ar2.df2";"ar0.df3";"ar1.df3";"ar2.df3"
"24";"L.platyme";0;1.38896417239766;0.994442266938293;0;1.22255185005962;0.674777008983938;0;1.62207831775478;0.568577501878366;0;1.88025117176007;0.861228902868831
"25";"M.aff.int";0;1.97621750906737;1.68656535396227;0;1.98305107025536;1.21181659265639;0;1.97451113166909;1.77452836919949;0;1.95609556057454;2.40863994320659
"26";"M.lippinc";0;1.97819275274662;0.562985844334605;0;1.96236652435002;0.631166337301465;0.889103603773407;2.6179369119925;0;0.979215590160067;2.70080462045038;0
"27";"M.macroce";0;1.96958599364169;3.95023687423523;0;1.97037745245925;3.81640710102113;0;1.95541042930685;3.94333037170964;0;1.89125416418989;3.88947677839425
"28";"M.piavuss";0;0.412957553632737;2.41292485718043;0.193006515064496;0;1.30071005343981;0;0.960245824715003;1.17929480111044;0;1.11060000130405;2.00016012388119
"29";"P.ambrose";0;0.797962435090611;2.66393674646405;0;1.5148310471066;3.36573155103136;0;1.81638625288784;3.39941509138461;0;1.65796675019899;3.47004000174508
"30";"P.corrusc";10.8967759912833;8.29632029339305;0;8.29740054399409;7.19470448839658;0;4.21502473437837;4.57565980139134;0;2.71147870595101;3.27326698720859;0
"31";"P.galeatu";0;1.80341261199061;2.34498124505834;0;1.83318305554573;2.3141753898133;0;1.84530685462795;3.01665908675369;0;1.6558492649221;2.9822064804118
"32";"P.granulo";0;0.708688562396247;0.837315466324441;0;0.83618244638896;0.901955698005139;0;1.14862526845293;1.11445161689645;0;0.820092433334239;1.13169235115701
"33";"P.lineatu";6.58777714166587;0;1.84093971923771;6.24931588790334;0;1.86705565007432;5.88788395690884;0;1.94902744689509;5.24263960966051;0;1.93295634332726
"34";"P.maculat";0;1.95624442171547;3.56965104346671;0;1.99678415760309;3.94814072788364;0;1.72774503543334;2.80410768223368;0;1.41938248501614;1.81536096003683
"35";"P.mesopot";0.86187312587046;0;1.90602216574414;1.85682234714051;0;1.99655665918353;1.47594910085861;0;1.64504130468516;0.738017412096767;0;1.67592066606456
"36";"P.mysteri";0;1.73608659639386;3.23606817398402;0;0.990012240671298;0.194764446328861;0;0.882818065665063;2.08521546236575;0;1.11373658648494;2.43768584469339
"37";"P.squamos";0;1.96053706931093;3.92145134503644;0;1.87467918444668;3.82968328324151;0;1.97419819037499;3.95197649951309;0;1.96767173750845;3.95459743764225
"38";"R.descalv";0;0.0413312188048565;0.47536916983907;0;0.000551881364629025;0.198100269468881;0;0.156518944270914;0.170460247637493;0;0.170115422695147;0.45996052488357
"39";"R.hahni";1.64672362824517;0;1.84704530147933;0.561879444430673;0;1.66704982176707;0.178491258628142;0;1.85287883781531;0;0.0215516431558882;1.95307136042052
"40";"R.vulpinu";0;1.71460820974946;0.971388282165279;0;1.99562810333853;3.14128278965023;0;1.99942762041491;3.32558421839663;0;1.99934074710426;3.48204538811717
